Time (seconds),Relative Humidity %,Celsius,Fahrenheit
1522724230,47.43,24.82,76.67
1522724231,47.43,24.82,76.67
1522724232,47.43,24.82,76.67
1522724233,47.43,24.82,76.67
1522724234,47.43,24.82,76.67
1522724235,47.43,24.82,76.67
1522724236,47.43,24.82,76.67
1522724237,47.43,24.82,76.67
1522724238,47.43,24.82,76.67
1522724239,47.43,24.82,76.67
1522724240,47.43,24.82,76.67
1522724241,47.43,24.82,76.67
1522724242,47.43,24.82,76.67
1522724243,47.43,24.82,76.67
1522724244,47.43,24.82,76.67
1522724245,47.43,24.82,76.67
1522724246,47.43,24.82,76.67
1522724247,47.43,24.82,76.67
1522724248,47.43,24.82,76.67
1522724249,47.43,24.82,76.67
1522724250,47.43,24.82,76.67
1522724251,47.43,24.82,76.67
1522724252,47.43,24.82,76.67
1522724253,47.43,24.82,76.67
1522724254,47.43,24.82,76.67
1522724255,47.43,24.82,76.67
1522724256,47.43,24.82,76.67
1522724257,47.43,24.82,76.67
1522724258,47.43,24.82,76.67
1522724259,47.43,24.82,76.67
1522724260,47.43,24.82,76.67
1522724261,47.43,24.82,76.67
1522724262,47.43,24.82,76.67
1522724263,47.43,24.82,76.67
1522724264,47.43,24.82,76.67
1522724265,47.43,24.82,76.67
1522724266,47.43,24.82,76.67
1522724267,47.43,24.82,76.67
1522724268,47.43,24.82,76.67
1522724269,47.43,24.82,76.67
1522724270,47.43,24.82,76.67
1522724271,47.43,24.82,76.67
1522724272,47.43,24.82,76.67
1522724273,47.43,24.82,76.67
1522724274,47.43,24.82,76.67
1522724275,47.43,24.82,76.67
1522724276,47.43,24.82,76.67
1522724277,47.43,24.82,76.67
1522724278,47.43,24.82,76.67
1522724279,47.43,24.82,76.67
1522724280,47.43,24.82,76.67
1522724281,47.43,24.82,76.67
1522724282,47.43,24.82,76.67
1522724283,47.43,24.82,76.67
1522724284,47.43,24.82,76.67
1522724285,47.43,24.82,76.67
1522724286,47.43,24.82,76.67
1522724287,47.43,24.82,76.67
1522724288,47.43,24.82,76.67
1522724289,47.43,24.82,76.67
1522724290,47.43,24.82,76.67
1522724291,47.43,24.82,76.67
1522724292,47.43,24.82,76.67
1522724293,47.43,24.82,76.67
1522724294,47.43,24.82,76.67
1522724295,47.43,24.82,76.67
1522724296,47.43,24.82,76.67
1522724297,47.43,24.82,76.67
1522724298,47.43,24.82,76.67
1522724299,47.43,24.82,76.67
1522724300,47.43,24.82,76.67
1522724301,47.43,24.82,76.67
1522724302,47.43,24.82,76.67
1522724303,47.43,24.82,76.67
1522724304,47.43,24.82,76.67
1522724305,47.43,24.82,76.67
1522724306,47.43,24.82,76.67
1522724307,47.43,24.82,76.67
1522724308,47.43,24.82,76.67
1522724309,47.43,24.82,76.67
1522724310,47.43,24.82,76.67
1522724311,47.43,24.82,76.67
1522724312,47.43,24.82,76.67
1522724313,47.43,24.82,76.67
1522724314,47.43,24.82,76.67
1522724315,47.43,24.82,76.67
1522724316,47.43,24.82,76.67
1522724317,47.43,24.82,76.67
1522724318,47.43,24.82,76.67
1522724319,47.43,24.82,76.67
1522724320,47.43,24.82,76.67
1522724321,47.43,24.82,76.67
1522724322,47.43,24.82,76.67
1522724323,47.43,24.82,76.67
1522724324,47.43,24.82,76.67
1522724325,47.43,24.82,76.67
1522724326,47.43,24.82,76.67
1522724327,47.43,24.82,76.67
1522724328,47.43,24.82,76.67
1522724329,47.43,24.82,76.67
1522724330,47.43,24.82,76.67
1522724331,47.43,24.82,76.67
1522724332,47.43,24.82,76.67
1522724333,47.43,24.82,76.67
1522724334,47.43,24.82,76.67
1522724335,47.43,24.82,76.67
1522724336,47.43,24.82,76.67
1522724337,47.43,24.82,76.67
1522724338,47.43,24.82,76.67
1522724339,47.43,24.82,76.67
1522724340,47.43,24.82,76.67
1522724341,47.43,24.82,76.67
1522724342,47.43,24.82,76.67
1522724343,47.43,24.82,76.67
1522724344,47.43,24.82,76.67
1522724345,47.43,24.82,76.67
1522724346,47.43,24.82,76.67
1522724347,47.43,24.82,76.67
1522724348,47.43,24.82,76.67
1522724349,47.43,24.82,76.67
1522724350,47.43,24.82,76.67
1522724351,47.43,24.82,76.67
1522724352,47.43,24.82,76.67
1522724353,47.43,24.82,76.67
1522724354,47.43,24.82,76.67
1522724355,47.43,24.82,76.67
1522724356,47.43,24.82,76.67
1522724357,47.43,24.82,76.67
1522724358,47.43,24.82,76.67
1522724359,47.43,24.82,76.67
1522724360,47.43,24.82,76.67
1522724361,47.43,24.82,76.67
1522724362,47.43,24.82,76.67
1522724363,47.43,24.82,76.67
1522724364,47.43,24.82,76.67
1522724365,47.43,24.82,76.67
1522724366,47.43,24.82,76.67
1522724367,47.43,24.82,76.67
1522724368,47.43,24.82,76.67
1522724369,47.43,24.82,76.67
1522724370,47.43,24.82,76.67
1522724371,47.43,24.82,76.67
1522724372,47.43,24.82,76.67
1522724373,47.43,24.82,76.67
1522724374,47.43,24.82,76.67
1522724375,47.43,24.82,76.67
1522724376,47.43,24.82,76.67
1522724377,47.43,24.82,76.67
1522724378,47.43,24.82,76.67
1522724379,47.43,24.82,76.67
1522724380,47.43,24.82,76.67
1522724381,47.43,24.82,76.67
1522724382,47.43,24.82,76.67
1522724383,47.43,24.82,76.67
1522724384,47.43,24.82,76.67
1522724385,47.43,24.82,76.67
1522724386,47.43,24.82,76.67
1522724387,47.43,24.82,76.67
1522724388,47.43,24.82,76.67
1522724389,47.43,24.82,76.67
1522724390,47.43,24.82,76.67
1522724391,47.43,24.82,76.67
1522724392,47.43,24.82,76.67
1522724393,47.43,24.82,76.67
1522724394,47.43,24.82,76.67
1522724395,47.43,24.82,76.67
1522724396,47.43,24.82,76.67
1522724397,47.43,24.82,76.67
1522724398,47.43,24.82,76.67
1522724399,47.43,24.82,76.67
1522724400,47.43,24.82,76.67
1522724401,47.43,24.82,76.67
1522724402,47.43,24.82,76.67
1522724403,47.43,24.82,76.67
1522724404,47.43,24.82,76.67
1522724405,47.43,24.82,76.67
1522724406,47.43,24.82,76.67
1522724407,47.43,24.82,76.67
1522724408,47.43,24.82,76.67
1522724409,47.43,24.82,76.67
1522724410,47.43,24.82,76.67
1522724411,47.43,24.82,76.67
1522724412,47.43,24.82,76.67
1522724413,47.43,24.82,76.67
1522724414,47.43,24.82,76.67
1522724415,47.43,24.82,76.67
1522724416,47.43,24.82,76.67
1522724417,47.43,24.82,76.67
1522724418,47.43,24.82,76.67
1522724419,47.43,24.82,76.67
1522724420,47.43,24.82,76.67
1522724421,47.43,24.82,76.67
1522724422,47.43,24.82,76.67
1522724423,47.43,24.82,76.67
1522724424,47.43,24.82,76.67
1522724425,47.43,24.82,76.67
1522724426,47.43,24.82,76.67
1522724427,47.43,24.82,76.67
1522724428,47.43,24.82,76.67
1522724429,47.43,24.82,76.67
1522724430,47.43,24.82,76.67
1522724431,47.43,24.82,76.67
1522724432,47.43,24.82,76.67
1522724433,47.43,24.82,76.67
1522724434,47.43,24.82,76.67
1522724435,47.43,24.82,76.67
1522724436,47.43,24.82,76.67
1522724437,47.43,24.82,76.67
1522724438,47.43,24.82,76.67
1522724439,47.43,24.82,76.67
1522724440,47.43,24.82,76.67
1522724441,47.43,24.82,76.67
1522724442,47.43,24.82,76.67
1522724443,47.43,24.82,76.67
1522724444,47.43,24.82,76.67
1522724445,47.43,24.82,76.67
1522724446,47.43,24.82,76.67
1522724447,47.43,24.82,76.67
1522724448,47.43,24.82,76.67
1522724449,47.43,24.82,76.67
1522724450,47.43,24.82,76.67
1522724451,47.43,24.82,76.67
1522724452,47.43,24.82,76.67
1522724453,47.43,24.82,76.67
1522724454,47.43,24.82,76.67
1522724455,47.43,24.82,76.67
1522724456,47.43,24.82,76.67
1522724457,47.43,24.82,76.67
1522724458,47.43,24.82,76.67
1522724459,47.43,24.82,76.67
1522724460,47.43,24.82,76.67
1522724461,47.43,24.82,76.67
1522724462,47.43,24.82,76.67
1522724463,47.43,24.82,76.67
1522724464,47.43,24.82,76.67
1522724465,47.43,24.82,76.67
1522724466,47.43,24.82,76.67
1522724467,47.43,24.82,76.67
1522724468,47.43,24.82,76.67
1522724469,47.43,24.82,76.67
1522724470,47.43,24.82,76.67
1522724471,47.43,24.82,76.67
1522724472,47.43,24.82,76.67
1522724473,47.43,24.82,76.67
1522724474,47.43,24.82,76.67
1522724475,47.43,24.82,76.67
1522724476,47.43,24.82,76.67
1522724477,47.43,24.82,76.67
1522724478,47.43,24.82,76.67
1522724479,47.43,24.82,76.67
1522724480,47.43,24.82,76.67
1522724481,47.43,24.82,76.67
1522724482,47.43,24.82,76.67
1522724483,47.43,24.82,76.67
1522724484,47.43,24.82,76.67
1522724485,47.43,24.82,76.67
1522724486,47.43,24.82,76.67
1522724487,47.43,24.82,76.67
1522724488,47.43,24.82,76.67
1522724489,47.43,24.82,76.67
1522724490,47.43,24.82,76.67
1522724491,47.43,24.82,76.67
1522724492,47.43,24.82,76.67
1522724493,47.43,24.82,76.67
1522724494,47.43,24.82,76.67
1522724495,47.43,24.82,76.67
1522724496,47.43,24.82,76.67
1522724497,47.43,24.82,76.67
1522724498,47.43,24.82,76.67
1522724499,47.43,24.82,76.67
1522724500,47.43,24.82,76.67
1522724501,47.43,24.82,76.67
1522724502,47.43,24.82,76.67
1522724503,47.43,24.82,76.67
1522724504,47.43,24.82,76.67
1522724505,47.43,24.82,76.67
1522724506,47.43,24.82,76.67
1522724507,47.43,24.82,76.67
1522724508,47.43,24.82,76.67
1522724509,47.43,24.82,76.67
1522724510,47.43,24.82,76.67
1522724511,47.43,24.82,76.67
1522724512,47.43,24.82,76.67
1522724513,47.43,24.82,76.67
1522724514,47.43,24.82,76.67
1522724515,47.43,24.82,76.67
1522724516,47.43,24.82,76.67
1522724517,47.43,24.82,76.67
1522724518,47.43,24.82,76.67
1522724519,47.43,24.82,76.67
1522724520,47.43,24.82,76.67
1522724521,47.43,24.82,76.67
1522724522,47.43,24.82,76.67
1522724523,47.43,24.82,76.67
1522724524,47.43,24.82,76.67
1522724525,47.43,24.82,76.67
1522724526,47.43,24.82,76.67
1522724527,47.43,24.82,76.67
1522724528,47.43,24.82,76.67
1522724529,47.43,24.82,76.67
1522724530,47.43,24.82,76.67
1522724531,47.43,24.82,76.67
1522724532,47.43,24.82,76.67
1522724533,47.43,24.82,76.67
1522724534,47.43,24.82,76.67
1522724535,47.43,24.82,76.67
1522724536,47.43,24.82,76.67
1522724537,47.43,24.82,76.67
1522724538,47.43,24.82,76.67
1522724539,47.43,24.82,76.67
1522724540,47.43,24.82,76.67
1522724541,47.43,24.82,76.67
1522724542,47.43,24.82,76.67
1522724543,47.43,24.82,76.67
1522724544,47.43,24.82,76.67
1522724545,47.43,24.82,76.67
1522724546,47.43,24.82,76.67
1522724547,47.43,24.82,76.67
1522724548,47.43,24.82,76.67
1522724549,47.43,24.82,76.67
1522724550,47.43,24.82,76.67
1522724551,47.43,24.82,76.67
1522724552,47.43,24.82,76.67
1522724553,47.43,24.82,76.67
1522724554,47.43,24.82,76.67
1522724555,47.43,24.82,76.67
1522724557,47.43,24.82,76.67
1522724558,47.43,24.82,76.67
1522724559,47.43,24.82,76.67
1522724560,47.43,24.82,76.67
1522724561,47.43,24.82,76.67
1522724562,47.43,24.82,76.67
1522724563,47.43,24.82,76.67
1522724564,47.43,24.82,76.67
1522724565,47.43,24.82,76.67
1522724566,47.43,24.82,76.67
1522724567,47.43,24.82,76.67
1522724568,47.43,24.82,76.67
1522724569,47.43,24.82,76.67
1522724570,47.43,24.82,76.67
1522724571,47.43,24.82,76.67
1522724572,47.43,24.82,76.67
1522724573,47.43,24.82,76.67
1522724574,47.43,24.82,76.67
1522724575,47.43,24.82,76.67
1522724576,47.43,24.82,76.67
1522724577,47.43,24.82,76.67
1522724578,47.43,24.82,76.67
1522724579,47.43,24.82,76.67
1522724580,47.43,24.82,76.67
1522724581,47.43,24.82,76.67
1522724582,47.43,24.82,76.67
1522724583,47.43,24.82,76.67
1522724584,47.43,24.82,76.67
1522724585,47.43,24.82,76.67
1522724586,47.43,24.82,76.67
1522724587,47.43,24.82,76.67
1522724588,47.43,24.82,76.67
1522724589,47.43,24.82,76.67
1522724590,47.43,24.82,76.67
1522724591,47.43,24.82,76.67
1522724592,47.43,24.82,76.67
1522724593,47.43,24.82,76.67
1522724594,47.43,24.82,76.67
1522724595,47.43,24.82,76.67
1522724596,47.43,24.82,76.67
1522724597,47.43,24.82,76.67
1522724598,47.43,24.82,76.67
1522724599,47.43,24.82,76.67
1522724600,47.43,24.82,76.67
1522724601,47.43,24.82,76.67
1522724602,47.43,24.82,76.67
1522724603,47.43,24.82,76.67
1522724604,47.43,24.82,76.67
1522724605,47.43,24.82,76.67
1522724606,47.43,24.82,76.67
1522724607,47.43,24.82,76.67
1522724608,47.43,24.82,76.67
1522724609,47.43,24.82,76.67
1522724610,47.43,24.82,76.67
1522724611,47.43,24.82,76.67
1522724612,47.43,24.82,76.67
1522724613,47.43,24.82,76.67
1522724614,47.43,24.82,76.67
1522724615,47.43,24.82,76.67
1522724616,47.43,24.82,76.67
1522724617,47.43,24.82,76.67
1522724618,47.43,24.82,76.67
1522724619,47.43,24.82,76.67
1522724620,47.43,24.82,76.67
1522724621,47.43,24.82,76.67
1522724622,47.43,24.82,76.67
1522724623,47.43,24.82,76.67
1522724624,47.43,24.82,76.67
1522724625,47.43,24.82,76.67
1522724626,47.43,24.82,76.67
1522724627,47.43,24.82,76.67
1522724628,47.43,24.82,76.67
1522724629,47.43,24.82,76.67
1522724630,47.43,24.82,76.67
1522724631,47.43,24.82,76.67
1522724632,47.43,24.82,76.67
1522724633,47.43,24.82,76.67
1522724634,47.43,24.82,76.67
1522724635,47.43,24.82,76.67
1522724636,47.43,24.82,76.67
1522724637,47.43,24.82,76.67
1522724638,47.43,24.82,76.67
1522724639,47.43,24.82,76.67
1522724640,47.43,24.82,76.67
1522724641,47.43,24.82,76.67
1522724642,47.43,24.82,76.67
1522724643,47.43,24.82,76.67
1522724644,47.43,24.82,76.67
1522724645,47.43,24.82,76.67
1522724646,47.43,24.82,76.67
1522724647,47.43,24.82,76.67
1522724648,47.43,24.82,76.67
1522724649,47.92,24.82,76.67
1522724650,47.43,24.82,76.67
1522724651,47.43,24.82,76.67
1522724652,47.43,24.82,76.67
1522724653,47.43,24.82,76.67
1522724654,47.92,24.82,76.67
1522724655,47.92,24.82,76.67
1522724656,47.92,24.82,76.67
1522724657,47.43,24.82,76.67
1522724658,47.92,24.82,76.67
1522724659,47.92,24.82,76.67
1522724660,47.43,24.82,76.67
1522724661,47.43,24.82,76.67
1522724662,47.92,24.82,76.67
1522724663,47.92,24.82,76.67
1522724664,47.92,24.82,76.67
1522724665,47.92,24.82,76.67
1522724666,47.92,24.82,76.67
1522724667,47.43,24.82,76.67
1522724668,47.92,24.82,76.67
1522724669,47.43,24.82,76.67
1522724670,47.92,24.82,76.67
1522724671,47.92,24.82,76.67
1522724672,47.92,24.82,76.67
1522724673,47.92,24.82,76.67
1522724674,47.92,24.82,76.67
1522724675,47.43,24.82,76.67
1522724676,47.43,24.82,76.67
1522724677,47.92,24.82,76.67
1522724678,47.92,24.82,76.67
1522724679,47.92,24.82,76.67
1522724680,47.92,24.82,76.67
1522724681,47.92,24.82,76.67
1522724682,47.92,24.82,76.67
1522724683,47.92,24.82,76.67
1522724684,47.92,24.82,76.67
1522724685,47.92,24.82,76.67
1522724686,47.92,24.82,76.67
1522724687,47.92,24.82,76.67
1522724688,47.92,24.82,76.67
1522724689,47.92,24.82,76.67
1522724690,47.92,24.82,76.67
1522724691,47.92,24.82,76.67
1522724692,47.92,24.82,76.67
1522724693,47.92,24.82,76.67
1522724694,47.92,24.82,76.67
1522724695,47.92,24.82,76.67
1522724696,47.92,24.82,76.67
1522724697,47.92,24.82,76.67
1522724698,47.92,24.82,76.67
1522724699,47.92,24.82,76.67
1522724700,47.92,24.82,76.67
1522724701,47.92,24.82,76.67
1522724702,47.92,24.82,76.67
1522724703,47.92,24.82,76.67
1522724704,47.92,24.82,76.67
1522724705,47.92,24.82,76.67
1522724706,47.92,24.82,76.67
1522724707,47.92,24.82,76.67
1522724708,47.92,24.82,76.67
1522724709,47.92,24.82,76.67
1522724710,47.92,24.82,76.67
1522724711,47.92,24.82,76.67
1522724712,47.92,24.82,76.67
1522724713,47.92,24.82,76.67
1522724714,47.92,24.82,76.67
1522724715,47.92,24.82,76.67
1522724716,47.92,24.82,76.67
1522724717,47.92,24.82,76.67
1522724718,47.92,24.82,76.67
1522724719,47.92,24.82,76.67
1522724720,47.92,24.82,76.67
1522724721,47.92,24.82,76.67
1522724722,47.92,24.82,76.67
1522724723,47.92,24.82,76.67
1522724724,47.92,24.82,76.67
1522724725,47.92,24.82,76.67
1522724726,47.92,24.82,76.67
1522724727,47.92,24.82,76.67
1522724728,47.92,24.82,76.67
1522724729,47.92,24.82,76.67
1522724730,47.92,24.82,76.67
1522724731,47.92,24.82,76.67
1522724732,47.92,24.82,76.67
1522724733,47.92,24.82,76.67
1522724734,47.92,24.82,76.67
1522724735,47.92,24.82,76.67
1522724736,47.92,24.82,76.67
1522724737,47.92,24.82,76.67
1522724738,47.92,24.82,76.67
1522724739,47.92,24.82,76.67
1522724740,47.92,24.82,76.67
1522724741,47.92,24.82,76.67
1522724742,47.92,24.82,76.67
1522724743,47.92,24.82,76.67
1522724744,47.92,24.82,76.67
1522724745,47.92,24.82,76.67
1522724746,47.92,24.82,76.67
1522724747,47.92,24.82,76.67
1522724748,47.92,24.82,76.67
1522724749,47.92,24.82,76.67
1522724750,47.92,24.82,76.67
1522724751,47.92,24.82,76.67
1522724752,47.92,24.82,76.67
1522724753,47.92,24.82,76.67
1522724754,47.92,24.82,76.67
1522724755,47.92,24.82,76.67
1522724756,47.92,24.82,76.67
1522724757,47.92,24.82,76.67
1522724758,47.92,24.82,76.67
1522724759,47.92,24.82,76.67
1522724760,47.92,24.82,76.67
1522724761,47.92,24.82,76.67
1522724762,47.92,24.82,76.67
1522724763,47.92,24.82,76.67
1522724764,47.92,24.82,76.67
1522724765,47.92,24.82,76.67
1522724766,47.92,24.82,76.67
1522724767,47.92,24.82,76.67
1522724768,47.92,24.82,76.67
1522724769,47.92,24.82,76.67
1522724770,47.92,24.82,76.67
1522724771,47.92,24.82,76.67
1522724772,47.92,24.82,76.67
1522724773,47.92,24.82,76.67
1522724774,47.92,24.82,76.67
1522724775,47.92,24.82,76.67
1522724776,47.92,24.82,76.67
1522724777,47.92,24.82,76.67
1522724778,47.92,24.82,76.67
1522724779,47.92,24.82,76.67
1522724780,47.92,24.82,76.67
1522724781,47.92,24.82,76.67
1522724782,47.92,24.82,76.67
1522724783,47.92,24.82,76.67
1522724784,47.92,24.82,76.67
1522724785,47.92,24.82,76.67
1522724786,47.92,24.82,76.67
1522724787,47.92,24.82,76.67
1522724788,47.92,24.82,76.67
1522724789,47.92,24.82,76.67
1522724790,47.92,24.82,76.67
1522724791,47.92,24.82,76.67
1522724792,47.92,24.82,76.67
1522724793,47.92,24.82,76.67
1522724794,47.92,24.82,76.67
1522724795,47.92,24.82,76.67
1522724796,47.92,24.82,76.67
1522724797,47.92,24.82,76.67
1522724798,47.92,24.82,76.67
1522724799,47.92,24.82,76.67
1522724800,47.92,24.82,76.67
1522724801,47.92,24.82,76.67
1522724802,47.92,24.82,76.67
1522724803,47.92,24.82,76.67
1522724804,47.92,24.82,76.67
1522724805,47.92,24.82,76.67
1522724806,47.92,24.82,76.67
1522724807,47.92,24.82,76.67
1522724808,47.92,24.82,76.67
1522724809,47.92,24.82,76.67
1522724810,47.92,24.82,76.67
1522724811,47.92,24.82,76.67
1522724812,47.92,24.82,76.67
1522724813,47.92,24.82,76.67
1522724814,47.92,24.82,76.67
1522724815,47.92,24.82,76.67
1522724816,47.92,24.82,76.67
1522724817,47.92,24.82,76.67
1522724818,47.92,24.82,76.67
1522724819,47.92,24.82,76.67
1522724820,47.92,24.82,76.67
1522724821,47.92,24.82,76.67
1522724822,47.92,24.82,76.67
1522724823,47.92,24.82,76.67
1522724824,47.92,24.82,76.67
1522724825,47.92,24.82,76.67
1522724826,47.92,24.82,76.67
1522724827,47.92,24.82,76.67
1522724828,47.92,24.82,76.67
1522724829,47.92,24.82,76.67
1522724830,47.92,24.82,76.67
1522724831,47.92,24.82,76.67
1522724832,47.92,24.82,76.67
1522724833,47.92,24.82,76.67
1522724834,47.92,24.82,76.67
1522724835,47.92,24.82,76.67
1522724836,47.92,24.82,76.67
1522724837,47.92,24.82,76.67
1522724838,47.92,24.82,76.67
1522724839,47.92,24.82,76.67
1522724840,47.92,24.82,76.67
1522724841,47.92,24.82,76.67
1522724842,47.92,24.82,76.67
1522724843,47.92,24.82,76.67
1522724844,47.92,24.82,76.67
1522724845,47.92,24.82,76.67
1522724846,47.92,24.82,76.67
1522724847,47.92,24.82,76.67
1522724848,47.92,24.82,76.67
1522724849,47.92,24.82,76.67
1522724850,47.92,24.82,76.67
1522724851,47.92,24.82,76.67
1522724852,47.92,24.82,76.67
1522724853,47.92,24.82,76.67
1522724854,47.92,24.82,76.67
1522724855,47.92,24.82,76.67
1522724856,47.92,24.82,76.67
1522724857,47.92,24.82,76.67
1522724858,47.92,24.82,76.67
1522724859,47.92,24.82,76.67
1522724860,47.92,24.82,76.67
1522724861,47.92,24.82,76.67
1522724862,47.92,24.82,76.67
1522724863,47.92,24.82,76.67
1522724864,47.92,24.82,76.67
1522724865,47.92,24.82,76.67
1522724866,47.92,24.82,76.67
1522724867,47.92,24.82,76.67
1522724868,47.92,24.82,76.67
1522724869,47.92,24.82,76.67
1522724870,47.92,24.82,76.67
1522724871,47.92,24.82,76.67
1522724872,47.92,24.82,76.67
1522724873,47.92,24.82,76.67
1522724874,47.92,24.82,76.67
1522724875,47.92,24.82,76.67
1522724876,47.92,24.82,76.67
1522724877,47.92,24.82,76.67
1522724878,47.92,24.82,76.67
1522724879,47.92,24.82,76.67
1522724880,47.92,24.82,76.67
1522724881,47.92,24.82,76.67
1522724882,47.92,24.82,76.67
1522724883,47.92,24.82,76.67
1522724884,47.92,24.82,76.67
1522724885,47.92,24.82,76.67
1522724886,47.92,24.82,76.67
1522724887,47.92,24.82,76.67
1522724889,47.92,24.82,76.67
1522724890,47.92,24.82,76.67
1522724891,47.92,24.82,76.67
1522724892,47.92,24.82,76.67
1522724893,47.92,24.82,76.67
1522724894,47.92,24.82,76.67
1522724895,47.92,24.82,76.67
1522724896,47.92,24.82,76.67
1522724897,47.92,24.82,76.67
1522724898,47.92,24.82,76.67
1522724899,47.92,24.82,76.67
1522724900,47.92,24.82,76.67
1522724901,47.92,24.82,76.67
1522724902,47.92,24.82,76.67
1522724903,47.92,24.82,76.67
1522724904,47.92,24.82,76.67
1522724905,47.92,24.82,76.67
1522724906,47.92,24.82,76.67
1522724907,47.92,24.82,76.67
1522724908,47.92,24.82,76.67
1522724909,47.92,24.82,76.67
1522724910,47.92,24.82,76.67
1522724911,47.92,24.82,76.67
1522724912,47.92,24.82,76.67
1522724913,47.92,24.82,76.67
1522724914,47.92,24.82,76.67
1522724915,47.92,24.82,76.67
1522724916,47.92,24.82,76.67
1522724917,47.92,24.82,76.67
1522724918,47.92,24.82,76.67
1522724919,47.92,24.82,76.67
1522724920,47.92,24.82,76.67
1522724921,47.92,24.82,76.67
1522724922,47.92,24.82,76.67
1522724923,47.92,24.82,76.67
1522724924,47.92,24.82,76.67
1522724925,47.92,24.82,76.67
1522724926,47.92,24.82,76.67
1522724927,47.92,24.82,76.67
1522724928,47.92,24.82,76.67
1522724929,47.92,24.82,76.67
1522724930,47.92,24.82,76.67
1522724931,47.92,24.82,76.67
1522724932,47.92,24.82,76.67
1522724933,47.92,24.82,76.67
1522724934,47.92,24.82,76.67
1522724935,47.92,24.82,76.67
1522724936,47.92,24.82,76.67
1522724937,47.92,24.82,76.67
1522724938,47.92,24.82,76.67
1522724939,47.92,24.82,76.67
1522724940,47.92,24.82,76.67
